timescrape,longitude,latitude,timescrape,longitude,latitude
1506787271,113.569224,22.9424,,,
1506787271,113.569224,22.9424,0.0,0.0,0.0
1506787391,113.569224,22.9424,120.0,0.0,0.0
1506787510,113.569224,22.9424,119.0,0.0,0.0
1506787630,113.569224,22.9424,120.0,0.0,0.0
1506787749,113.569224,22.9424,119.0,0.0,0.0
1506787869,113.569224,22.9424,120.0,0.0,0.0
1506787988,113.569224,22.9424,119.0,0.0,0.0
1506788108,113.569224,22.9424,120.0,0.0,0.0
1506788227,113.569224,22.9424,119.0,0.0,0.0
1506788347,113.569224,22.9424,120.0,0.0,0.0
1506788466,113.569224,22.9424,119.0,0.0,0.0
1506788586,113.569224,22.9424,120.0,0.0,0.0
1506788705,113.569224,22.9424,119.0,0.0,0.0
1506788825,113.569224,22.9424,120.0,0.0,0.0
1506788944,113.569224,22.9424,119.0,0.0,0.0
1506789064,113.569224,22.9424,120.0,0.0,0.0
1506789183,113.569224,22.9424,119.0,0.0,0.0
1506789303,113.569224,22.9424,120.0,0.0,0.0
1506789422,113.569224,22.9424,119.0,0.0,0.0
1506789542,113.569224,22.9424,120.0,0.0,0.0
1506789661,113.569224,22.9424,119.0,0.0,0.0
1506789781,113.569224,22.9424,120.0,0.0,0.0
1506789900,113.569224,22.9424,119.0,0.0,0.0
1506790020,113.569224,22.9424,120.0,0.0,0.0
1506790139,113.569224,22.9424,119.0,0.0,0.0
1506790259,113.569224,22.9424,120.0,0.0,0.0
1506790378,113.569224,22.9424,119.0,0.0,0.0
1506790498,113.569224,22.9424,120.0,0.0,0.0
1506790617,113.569224,22.9424,119.0,0.0,0.0
1506790737,113.569224,22.9424,120.0,0.0,0.0
1506790856,113.569224,22.9424,119.0,0.0,0.0
1506790976,113.569224,22.9424,120.0,0.0,0.0
1506791095,113.569224,22.9424,119.0,0.0,0.0
1506791215,113.569224,22.9424,120.0,0.0,0.0
1506791334,113.569224,22.9424,119.0,0.0,0.0
1506791454,113.569224,22.9424,120.0,0.0,0.0
1506791573,113.569224,22.9424,119.0,0.0,0.0
1506791693,113.569224,22.9424,120.0,0.0,0.0
1506791812,113.569224,22.9424,119.0,0.0,0.0
1506791932,113.569224,22.9424,120.0,0.0,0.0
1506792051,113.569224,22.9424,119.0,0.0,0.0
1506792065,113.56924,22.9424,14.0,1.5999999988025593e-05,0.0
1506792185,113.56924,22.9424,120.0,0.0,0.0
1506792245,113.56924,22.9424,60.0,0.0,0.0
1506792245,113.56924,22.9424,0.0,0.0,0.0
1506792305,113.56924,22.9424,60.0,0.0,0.0
1506792425,113.56924,22.9424,120.0,0.0,0.0
1506792528,113.569503,22.942233,103.0,0.000263000000003899,-0.00016699999999758575
1506792528,113.569503,22.942233,0.0,0.0,0.0
1506792528,113.569503,22.942233,0.0,0.0,0.0
1506792528,113.569503,22.942233,0.0,0.0,0.0
1506792545,113.569303,22.942118,17.0,-0.00019999999999242846,-0.00011500000000097543
1506792665,113.569072,22.942,120.0,-0.0002309999999994261,-0.00011800000000050659
1506792718,113.569072,22.942,53.0,0.0,0.0
1506792838,113.568689,22.942801,120.0,-0.0003829999999993561,0.0008009999999991635
1506792958,113.568784,22.942735,120.0,9.499999998752173e-05,-6.600000000034356e-05
1506793022,113.568784,22.942735,64.0,0.0,0.0
1506793022,113.568784,22.942735,0.0,0.0,0.0
1506793077,113.568784,22.942735,55.0,0.0,0.0
1506793197,113.568784,22.942735,120.0,0.0,0.0
1506793316,113.568784,22.942735,119.0,0.0,0.0
1506793436,113.568784,22.942735,120.0,0.0,0.0
1506793555,113.568784,22.942735,119.0,0.0,0.0
1506793675,113.568784,22.942735,120.0,0.0,0.0
1506793794,113.568784,22.942735,119.0,0.0,0.0
1506793914,113.568784,22.942735,120.0,0.0,0.0
1506794033,113.568784,22.942735,119.0,0.0,0.0
1506794153,113.568784,22.942735,120.0,0.0,0.0
1506794272,113.568784,22.942735,119.0,0.0,0.0
1506794392,113.568784,22.942735,120.0,0.0,0.0
1506794392,113.568784,22.942735,0.0,0.0,0.0
1506794511,113.568784,22.942735,119.0,0.0,0.0
1506794631,113.568784,22.942735,120.0,0.0,0.0
1506794750,113.568784,22.942735,119.0,0.0,0.0
1506794870,113.568784,22.942735,120.0,0.0,0.0
1506794989,113.568784,22.942735,119.0,0.0,0.0
1506795109,113.568784,22.942735,120.0,0.0,0.0
1506795228,113.568784,22.942735,119.0,0.0,0.0
1506795300,113.568784,22.942735,72.0,0.0,0.0
1506795343,113.568473,22.942185,43.0,-0.0003109999999963975,-0.0005500000000004945
1506795343,113.568473,22.942185,0.0,0.0,0.0
1506795420,113.569136,22.942,77.0,0.0006630000000029668,-0.0001849999999983254
1506795539,113.569136,22.942,119.0,0.0,0.0
1506795559,113.569136,22.942,20.0,0.0,0.0
1506795559,113.569136,22.942,0.0,0.0,0.0
1506795633,113.569136,22.942,74.0,0.0,0.0
1506795671,113.569639,22.942265,38.0,0.0005029999999948132,0.0002649999999988495
1506795671,113.569639,22.942265,0.0,0.0,0.0
1506795695,113.56892,22.943769,24.0,-0.0007189999999894781,0.001504000000000616
1506795718,113.56793,22.945519,23.0,-0.0009900000000016007,0.0017500000000012506
1506795738,113.567004,22.947171,20.0,-0.0009260000000068658,0.0016519999999999868
1506795758,113.566023,22.948942,20.0,-0.0009809999999959018,0.0017709999999979686
1506795758,113.566023,22.948942,0.0,0.0,0.0
1506795779,113.565065,22.950676,21.0,-0.0009579999999971278,0.0017340000000025668
1506795804,113.564155,22.952412,25.0,-0.0009100000000046293,0.0017359999999975173
1506795823,113.563604,22.954264,19.0,-0.0005510000000015225,0.0018519999999995207
1506795845,113.563365,22.956215,22.0,-0.0002389999999934389,0.0019510000000018124
1506795871,113.563564,22.958216,26.0,0.00019899999999495321,0.0020009999999999195
1506795991,113.563764,22.959282,120.0,0.0002000000000066393,0.0010660000000015657
1506796019,113.564546,22.961115,28.0,0.0007820000000009486,0.001832999999997753
1506796045,113.565616,22.962714,26.0,0.001069999999998572,0.0015989999999987958
1506796067,113.566958,22.964147,22.0,0.0013419999999939591,0.001433000000002238
1506796088,113.568395,22.965511,21.0,0.0014369999999956917,0.0013639999999988106
1506796109,113.569824,22.966927,21.0,0.001429000000001679,0.0014159999999989736
1506796130,113.571245,22.968258,21.0,0.0014210000000076661,0.0013310000000004152
1506796250,113.571062,22.968292,120.0,-0.00018300000000692762,3.4000000002976094e-05
1506796370,113.571062,22.968292,120.0,0.0,0.0
1506796424,113.571062,22.968292,54.0,0.0,0.0
1506796424,113.571062,22.968292,0.0,0.0,0.0
1506796489,113.571062,22.968292,65.0,0.0,0.0
1506796609,113.571062,22.968292,120.0,0.0,0.0
1506796728,113.571062,22.968292,119.0,0.0,0.0
1506796848,113.571062,22.968292,120.0,0.0,0.0
1506796967,113.571062,22.968292,119.0,0.0,0.0
1506797087,113.571062,22.968292,120.0,0.0,0.0
1506797144,113.571062,22.968292,57.0,0.0,0.0
1506797264,113.571062,22.968292,120.0,0.0,0.0
1506797323,113.571062,22.968292,59.0,0.0,0.0
1506797323,113.571062,22.968292,0.0,0.0,0.0
1506797384,113.571062,22.968292,61.0,0.0,0.0
1506797462,113.571501,22.968492,78.0,0.0004390000000000782,0.00019999999999953388
1506797462,113.571501,22.968492,0.0,0.0,0.0
1506797462,113.571501,22.968492,0.0,0.0,0.0
1506797462,113.571501,22.968492,0.0,0.0,0.0
1506797504,113.571852,22.969242,42.0,0.00035100000000909404,0.0007500000000000284
1506797624,113.571852,22.969242,120.0,0.0,0.0
1506797676,113.571852,22.969242,52.0,0.0,0.0
1506797676,113.571852,22.969242,0.0,0.0,0.0
1506797676,113.571852,22.969242,0.0,0.0,0.0
1506797676,113.571852,22.969242,0.0,0.0,0.0
1506797744,113.571852,22.969242,68.0,0.0,0.0
1506797864,113.571852,22.969242,120.0,0.0,0.0
1506797984,113.572044,22.969441,120.0,0.00019199999999841566,0.00019899999999850593
1506798039,113.572044,22.969441,55.0,0.0,0.0
1506798039,113.572044,22.969441,0.0,0.0,0.0
1506798104,113.572044,22.969441,65.0,0.0,0.0
1506798223,113.572044,22.969441,119.0,0.0,0.0
1506798343,113.572044,22.969441,120.0,0.0,0.0
1506798462,113.572044,22.969441,119.0,0.0,0.0
1506798582,113.572044,22.969441,120.0,0.0,0.0
1506798701,113.572044,22.969441,119.0,0.0,0.0
1506798821,113.572044,22.969441,120.0,0.0,0.0
1506798835,113.572044,22.969441,14.0,0.0,0.0
1506798955,113.572044,22.969441,120.0,0.0,0.0
1506799015,113.572044,22.969441,60.0,0.0,0.0
1506799015,113.572044,22.969441,0.0,0.0,0.0
1506799075,113.572044,22.969441,60.0,0.0,0.0
1506799195,113.572044,22.969441,120.0,0.0,0.0
1506799315,113.572044,22.969441,120.0,0.0,0.0
1506799435,113.572044,22.969441,120.0,0.0,0.0
1506799555,113.572044,22.969441,120.0,0.0,0.0
1506799675,113.572044,22.969441,120.0,0.0,0.0
1506799795,113.572044,22.969441,120.0,0.0,0.0
1506799915,113.572044,22.969441,120.0,0.0,0.0
1506800035,113.572044,22.969441,120.0,0.0,0.0
1506800155,113.572044,22.969441,120.0,0.0,0.0
1506800275,113.572044,22.969441,120.0,0.0,0.0
1506800395,113.572044,22.969441,120.0,0.0,0.0
1506800515,113.572044,22.969441,120.0,0.0,0.0
1506800635,113.572044,22.969441,120.0,0.0,0.0
1506800755,113.572044,22.969441,120.0,0.0,0.0
1506800875,113.572044,22.969441,120.0,0.0,0.0
1506800995,113.572044,22.969441,120.0,0.0,0.0
1506801115,113.572044,22.969441,120.0,0.0,0.0
1506801235,113.572044,22.969441,120.0,0.0,0.0
1506801355,113.572044,22.969441,120.0,0.0,0.0
1506801475,113.572044,22.969441,120.0,0.0,0.0
1506801595,113.572044,22.969441,120.0,0.0,0.0
1506801715,113.572044,22.969441,120.0,0.0,0.0
1506801835,113.572044,22.969441,120.0,0.0,0.0
1506801955,113.572044,22.969441,120.0,0.0,0.0
1506802075,113.572044,22.969441,120.0,0.0,0.0
1506802195,113.572044,22.969441,120.0,0.0,0.0
1506802315,113.572044,22.969441,120.0,0.0,0.0
1506802435,113.572044,22.969441,120.0,0.0,0.0
1506802555,113.572044,22.969441,120.0,0.0,0.0
1506802675,113.572044,22.969441,120.0,0.0,0.0
1506802795,113.572044,22.969441,120.0,0.0,0.0
1506802915,113.572044,22.969441,120.0,0.0,0.0
1506803035,113.572044,22.969441,120.0,0.0,0.0
1506803155,113.572044,22.969441,120.0,0.0,0.0
1506803275,113.572044,22.969441,120.0,0.0,0.0
1506803395,113.572044,22.969441,120.0,0.0,0.0
1506803515,113.572044,22.969441,120.0,0.0,0.0
1506803635,113.572044,22.969441,120.0,0.0,0.0
1506803755,113.572044,22.969441,120.0,0.0,0.0
1506803875,113.572044,22.969441,120.0,0.0,0.0
1506803995,113.572044,22.969441,120.0,0.0,0.0
1506804115,113.572044,22.969441,120.0,0.0,0.0
1506804235,113.572044,22.969441,120.0,0.0,0.0
